license stuff needed for:      |             | 
glm                            |Iyathuum     | Math
gli                            |aezesel      | load .dds files
lodepng                        |aezesel      | Load/Save PNG files
freetype                       |ahwassa      | Font
glwf                           |ahwassa      | WindowManager
glad                           |ahwassa      | OpenGL
portaudio                      |ahwassa      | play sound
nyquistaudio                   |ahwassa      | load wav/mp3
openvr                         |ahwassa      | virtual reality
bullet                         |suthanus     | physics
lua                            |haas         | scripting
lua-matrix                     |haas         | matrix operations lua script
kikito/inspect.lua             |haas         | debug inside lua script
enet                           |vishala      | Network Library
moodycamel/concurrentqueue     |vishala      | concurrent queue
xdelta3                        |vishala      | delta compression
google snappy                  |vishala      | fast compression/decompression
nlohmann/json                  |vishala, haas| Human Readable Config Files
